=================================================================
  TABLA DE SIMBOLOS - LENGUAJE FLYNNS
=================================================================
  Total de entradas: 13
-----------------------------------------------------------------

No    LEXEMA               TOKEN      REF      LINEA
-----------------------------------------------------------------
1     PruebaSistema        ID         300      1
2     x                    ID         301      4
3     contador             ID         302      4
4     resultado            ID         303      4
5     mensaje              ID         304      5
6     activo               ID         305      6
7     10                   CENT       400      11
8     0                    CENT       401      12
9     3                    CENT       402      17
10    2                    CENT       403      18
11    5                    CENT       404      19
12    7                    CENT       405      65
13    1                    CENT       406      68

=================================================================
  RANGOS DE REFERENCIA:
  300-399  Identificadores (ID)
  400-499  Constantes enteras (CENT)
=================================================================
